away_team,away_score,home_team,home_score
Arizona Diamondbacks,NA,Texas Rangers,NA
Boston Red Sox,NA,Houston Astros,NA
Los Angeles Dodgers,NA,Los Angeles Angels,NA
San Diego Padres,NA,San Francisco Giants,NA
Tampa Bay Rays,NA,Athletics,NA
Seattle Mariners,NA,Baltimore Orioles,NA
Philadelphia Phillies,NA,Cincinnati Reds,NA
Miami Marlins,NA,Cleveland Guardians,NA
Minnesota Twins,NA,New York Yankees,NA
Chicago Cubs,NA,Toronto Blue Jays,NA
Atlanta Braves,NA,New York Mets,NA
Washington Nationals,NA,Kansas City Royals,NA
Detroit Tigers,NA,Chicago White Sox,NA
Pittsburgh Pirates,NA,Milwaukee Brewers,NA
Colorado Rockies,NA,St. Louis Cardinals,NA
Arizona Diamondbacks,NA,Texas Rangers,NA
Boston Red Sox,NA,Houston Astros,NA
Los Angeles Dodgers,NA,Los Angeles Angels,NA
San Diego Padres,NA,San Francisco Giants,NA
Tampa Bay Rays,NA,Athletics,NA
Washington Nationals,NA,Kansas City Royals,NA
Detroit Tigers,NA,Chicago White Sox,NA
Pittsburgh Pirates,NA,Milwaukee Brewers,NA
Colorado Rockies,NA,St. Louis Cardinals,NA
Arizona Diamondbacks,NA,Texas Rangers,NA
San Diego Padres,NA,San Francisco Giants,NA
Philadelphia Phillies,NA,Cincinnati Reds,NA
Seattle Mariners,NA,Baltimore Orioles,NA
Miami Marlins,NA,Cleveland Guardians,NA
Minnesota Twins,NA,New York Yankees,NA
Chicago Cubs,NA,Toronto Blue Jays,NA
Boston Red Sox,NA,Houston Astros,NA
Atlanta Braves,NA,New York Mets,NA
Los Angeles Dodgers,NA,Los Angeles Angels,NA
Tampa Bay Rays,NA,Athletics,NA
Seattle Mariners,NA,Baltimore Orioles,NA
Chicago Cubs,NA,Toronto Blue Jays,NA
Miami Marlins,NA,Cleveland Guardians,NA
Philadelphia Phillies,NA,Washington Nationals,NA
Atlanta Braves,NA,New York Mets,NA
Detroit Tigers,NA,Minnesota Twins,NA
Arizona Diamondbacks,NA,Colorado Rockies,NA
Pittsburgh Pirates,NA,Chicago Cubs,NA
Milwaukee Brewers,NA,Cincinnati Reds,NA
Philadelphia Phillies,NA,Washington Nationals,NA
Texas Rangers,NA,Toronto Blue Jays,NA
Seattle Mariners,NA,New York Mets,NA
Atlanta Braves,NA,Cleveland Guardians,NA
Miami Marlins,NA,Boston Red Sox,NA
Baltimore Orioles,NA,Houston Astros,NA
Detroit Tigers,NA,Minnesota Twins,NA
Chicago White Sox,NA,Kansas City Royals,NA
New York Yankees,NA,St. Louis Cardinals,NA
Arizona Diamondbacks,NA,Colorado Rockies,NA
Los Angeles Angels,NA,Athletics,NA
San Diego Padres,NA,Los Angeles Dodgers,NA
Tampa Bay Rays,NA,San Francisco Giants,NA
Pittsburgh Pirates,NA,Chicago Cubs,NA
Texas Rangers,NA,Toronto Blue Jays,NA
Philadelphia Phillies,NA,Washington Nationals,NA
Seattle Mariners,NA,New York Mets,NA
Miami Marlins,NA,Boston Red Sox,NA
Milwaukee Brewers,NA,Cincinnati Reds,NA
Baltimore Orioles,NA,Houston Astros,NA
Atlanta Braves,NA,Cleveland Guardians,NA
Chicago White Sox,NA,Kansas City Royals,NA
Detroit Tigers,NA,Minnesota Twins,NA
New York Yankees,NA,St. Louis Cardinals,NA
Arizona Diamondbacks,NA,Colorado Rockies,NA
Tampa Bay Rays,NA,San Francisco Giants,NA
San Diego Padres,NA,Los Angeles Dodgers,NA
Los Angeles Angels,NA,Athletics,NA
Philadelphia Phillies,NA,Washington Nationals,NA
Miami Marlins,NA,Boston Red Sox,NA
Texas Rangers,NA,Toronto Blue Jays,NA
Atlanta Braves,NA,Cleveland Guardians,NA
Milwaukee Brewers,NA,Cincinnati Reds,NA
Baltimore Orioles,NA,Houston Astros,NA
Detroit Tigers,NA,Minnesota Twins,NA
Chicago White Sox,NA,Kansas City Royals,NA
New York Yankees,NA,St. Louis Cardinals,NA
Pittsburgh Pirates,NA,Chicago Cubs,NA
Arizona Diamondbacks,NA,Colorado Rockies,NA
Los Angeles Angels,NA,Athletics,NA
Tampa Bay Rays,NA,San Francisco Giants,NA
San Diego Padres,NA,Los Angeles Dodgers,NA
Seattle Mariners,NA,New York Mets,NA
Milwaukee Brewers,NA,Chicago Cubs,NA
Milwaukee Brewers,NA,Chicago Cubs,NA
Houston Astros,NA,Detroit Tigers,NA
Toronto Blue Jays,NA,Pittsburgh Pirates,NA
St. Louis Cardinals,NA,Miami Marlins,NA
Seattle Mariners,NA,Philadelphia Phillies,NA
Baltimore Orioles,NA,Boston Red Sox,NA
Chicago White Sox,NA,Atlanta Braves,NA
Texas Rangers,NA,Kansas City Royals,NA
Los Angeles Dodgers,NA,Colorado Rockies,NA
Cincinnati Reds,NA,Los Angeles Angels,NA
Cleveland Guardians,NA,Arizona Diamondbacks,NA
San Francisco Giants,NA,San Diego Padres,NA
Houston Astros,NA,Detroit Tigers,NA
Toronto Blue Jays,NA,Pittsburgh Pirates,NA
St. Louis Cardinals,NA,Miami Marlins,NA
New York Mets,NA,Washington Nationals,NA
Seattle Mariners,NA,Philadelphia Phillies,NA
Baltimore Orioles,NA,Boston Red Sox,NA
Chicago White Sox,NA,Atlanta Braves,NA
New York Yankees,NA,Tampa Bay Rays,NA
Texas Rangers,NA,Kansas City Royals,NA
Athletics,NA,Minnesota Twins,NA
Milwaukee Brewers,NA,Chicago Cubs,NA
Los Angeles Dodgers,NA,Colorado Rockies,NA
Cincinnati Reds,NA,Los Angeles Angels,NA
Cleveland Guardians,NA,Arizona Diamondbacks,NA
San Francisco Giants,NA,San Diego Padres,NA
Toronto Blue Jays,NA,Pittsburgh Pirates,NA
Seattle Mariners,NA,Philadelphia Phillies,NA
Houston Astros,NA,Detroit Tigers,NA
Cleveland Guardians,NA,Arizona Diamondbacks,NA
St. Louis Cardinals,NA,Miami Marlins,NA
New York Mets,NA,Washington Nationals,NA
Chicago White Sox,NA,Atlanta Braves,NA
New York Yankees,NA,Tampa Bay Rays,NA
Texas Rangers,NA,Kansas City Royals,NA
Athletics,NA,Minnesota Twins,NA
Milwaukee Brewers,NA,Chicago Cubs,NA
Los Angeles Dodgers,NA,Colorado Rockies,NA
Cincinnati Reds,NA,Los Angeles Angels,NA
San Francisco Giants,NA,San Diego Padres,NA
Athletics,NA,Minnesota Twins,NA
Texas Rangers,NA,Kansas City Royals,NA
Milwaukee Brewers,NA,Chicago Cubs,NA
Los Angeles Dodgers,NA,Colorado Rockies,NA
New York Mets,NA,Washington Nationals,NA
San Francisco Giants,NA,San Diego Padres,NA
Houston Astros,NA,Baltimore Orioles,NA
Boston Red Sox,NA,New York Yankees,NA
St. Louis Cardinals,NA,Tampa Bay Rays,NA
Colorado Rockies,NA,Pittsburgh Pirates,NA
Washington Nationals,NA,Philadelphia Phillies,NA
Houston Astros,NA,Baltimore Orioles,NA
Boston Red Sox,NA,New York Yankees,NA
Kansas City Royals,NA,Detroit Tigers,NA
Toronto Blue Jays,NA,Miami Marlins,NA
New York Mets,NA,Atlanta Braves,NA
St. Louis Cardinals,NA,Tampa Bay Rays,NA
Minnesota Twins,NA,Chicago White Sox,NA
Cleveland Guardians,NA,Texas Rangers,NA
San Francisco Giants,NA,Milwaukee Brewers,NA
Chicago Cubs,NA,Los Angeles Angels,NA
Cincinnati Reds,NA,Arizona Diamondbacks,NA
Los Angeles Dodgers,NA,San Diego Padres,NA
Athletics,NA,Seattle Mariners,NA
Boston Red Sox,NA,New York Yankees,NA
Toronto Blue Jays,NA,Miami Marlins,NA
Washington Nationals,NA,Philadelphia Phillies,NA
Kansas City Royals,NA,Detroit Tigers,NA
Colorado Rockies,NA,Pittsburgh Pirates,NA
Houston Astros,NA,Baltimore Orioles,NA
Cleveland Guardians,NA,Texas Rangers,NA
Minnesota Twins,NA,Chicago White Sox,NA
San Francisco Giants,NA,Milwaukee Brewers,NA
New York Mets,NA,Atlanta Braves,NA
Cincinnati Reds,NA,Arizona Diamondbacks,NA
Los Angeles Dodgers,NA,San Diego Padres,NA
Chicago Cubs,NA,Los Angeles Angels,NA
Athletics,NA,Seattle Mariners,NA
Colorado Rockies,NA,Pittsburgh Pirates,NA
St. Louis Cardinals,NA,Tampa Bay Rays,NA
Houston Astros,NA,Baltimore Orioles,NA
Washington Nationals,NA,Philadelphia Phillies,NA
New York Mets,NA,Atlanta Braves,NA
Boston Red Sox,NA,New York Yankees,NA
Kansas City Royals,NA,Detroit Tigers,NA
Toronto Blue Jays,NA,Miami Marlins,NA
Minnesota Twins,NA,Chicago White Sox,NA
San Francisco Giants,NA,Milwaukee Brewers,NA
Cleveland Guardians,NA,Texas Rangers,NA
Chicago Cubs,NA,Los Angeles Angels,NA
Cincinnati Reds,NA,Arizona Diamondbacks,NA
Los Angeles Dodgers,NA,San Diego Padres,NA
Athletics,NA,Seattle Mariners,NA
Boston Red Sox,NA,Baltimore Orioles,NA
Tampa Bay Rays,NA,Cleveland Guardians,NA
Atlanta Braves,NA,Miami Marlins,NA
Washington Nationals,NA,New York Yankees,NA
Minnesota Twins,NA,Toronto Blue Jays,NA
Philadelphia Phillies,NA,New York Mets,NA
Kansas City Royals,NA,Chicago White Sox,NA
Arizona Diamondbacks,NA,Milwaukee Brewers,NA
Pittsburgh Pirates,NA,St. Louis Cardinals,NA
Los Angeles Angels,NA,Texas Rangers,NA
San Diego Padres,NA,Seattle Mariners,NA
Detroit Tigers,NA,Athletics,NA
Cincinnati Reds,NA,Los Angeles Dodgers,NA
Boston Red Sox,NA,Baltimore Orioles,NA
Tampa Bay Rays,NA,Cleveland Guardians,NA
Atlanta Braves,NA,Miami Marlins,NA
Washington Nationals,NA,New York Yankees,NA
Minnesota Twins,NA,Toronto Blue Jays,NA
Philadelphia Phillies,NA,New York Mets,NA
Kansas City Royals,NA,Chicago White Sox,NA
Arizona Diamondbacks,NA,Milwaukee Brewers,NA
Pittsburgh Pirates,NA,St. Louis Cardinals,NA
Los Angeles Angels,NA,Texas Rangers,NA
Colorado Rockies,NA,Houston Astros,NA
San Diego Padres,NA,Seattle Mariners,NA
Chicago Cubs,NA,San Francisco Giants,NA
Detroit Tigers,NA,Athletics,NA
Cincinnati Reds,NA,Los Angeles Dodgers,NA
Washington Nationals,NA,New York Yankees,NA
Tampa Bay Rays,NA,Cleveland Guardians,NA
Atlanta Braves,NA,Miami Marlins,NA
San Diego Padres,NA,Seattle Mariners,NA
Boston Red Sox,NA,Baltimore Orioles,NA
Minnesota Twins,NA,Toronto Blue Jays,NA
Philadelphia Phillies,NA,New York Mets,NA
Kansas City Royals,NA,Chicago White Sox,NA
Arizona Diamondbacks,NA,Milwaukee Brewers,NA
Pittsburgh Pirates,NA,St. Louis Cardinals,NA
Los Angeles Angels,NA,Texas Rangers,NA
Colorado Rockies,NA,Houston Astros,NA
Cincinnati Reds,NA,Los Angeles Dodgers,NA
Chicago Cubs,NA,San Francisco Giants,NA
Detroit Tigers,NA,Athletics,NA
Boston Red Sox,NA,Baltimore Orioles,NA
Colorado Rockies,NA,Houston Astros,NA
Arizona Diamondbacks,NA,Milwaukee Brewers,NA
Pittsburgh Pirates,NA,St. Louis Cardinals,NA
Chicago Cubs,NA,San Francisco Giants,NA
Atlanta Braves,NA,Philadelphia Phillies,NA
Miami Marlins,NA,New York Mets,NA
New York Yankees,NA,Chicago White Sox,NA
St. Louis Cardinals,NA,Cincinnati Reds,NA
Tampa Bay Rays,NA,Washington Nationals,NA
Atlanta Braves,NA,Philadelphia Phillies,NA
Milwaukee Brewers,NA,Toronto Blue Jays,NA
Pittsburgh Pirates,NA,Boston Red Sox,NA
Seattle Mariners,NA,Cleveland Guardians,NA
Miami Marlins,NA,New York Mets,NA
New York Yankees,NA,Chicago White Sox,NA
Los Angeles Angels,NA,Houston Astros,NA
Detroit Tigers,NA,Kansas City Royals,NA
San Diego Padres,NA,Minnesota Twins,NA
Chicago Cubs,NA,Colorado Rockies,NA
Texas Rangers,NA,Athletics,NA
Arizona Diamondbacks,NA,Los Angeles Dodgers,NA
Baltimore Orioles,NA,San Francisco Giants,NA
Milwaukee Brewers,NA,Toronto Blue Jays,NA
Tampa Bay Rays,NA,Washington Nationals,NA
Pittsburgh Pirates,NA,Boston Red Sox,NA
Miami Marlins,NA,New York Mets,NA
Atlanta Braves,NA,Philadelphia Phillies,NA
St. Louis Cardinals,NA,Cincinnati Reds,NA
Los Angeles Angels,NA,Houston Astros,NA
San Diego Padres,NA,Minnesota Twins,NA
New York Yankees,NA,Chicago White Sox,NA
Detroit Tigers,NA,Kansas City Royals,NA
Seattle Mariners,NA,Cleveland Guardians,NA
Baltimore Orioles,NA,San Francisco Giants,NA
Chicago Cubs,NA,Colorado Rockies,NA
Arizona Diamondbacks,NA,Los Angeles Dodgers,NA
Texas Rangers,NA,Athletics,NA
St. Louis Cardinals,NA,Cincinnati Reds,NA
San Diego Padres,NA,Minnesota Twins,NA
Pittsburgh Pirates,NA,Boston Red Sox,NA
Tampa Bay Rays,NA,Washington Nationals,NA
Milwaukee Brewers,NA,Toronto Blue Jays,NA
Seattle Mariners,NA,Cleveland Guardians,NA
Miami Marlins,NA,New York Mets,NA
Los Angeles Angels,NA,Houston Astros,NA
Detroit Tigers,NA,Kansas City Royals,NA
New York Yankees,NA,Chicago White Sox,NA
Chicago Cubs,NA,Colorado Rockies,NA
Baltimore Orioles,NA,San Francisco Giants,NA
Texas Rangers,NA,Athletics,NA
Arizona Diamondbacks,NA,Los Angeles Dodgers,NA
Atlanta Braves,NA,Philadelphia Phillies,NA
Miami Marlins,NA,Washington Nationals,NA
New York Mets,NA,Detroit Tigers,NA
Toronto Blue Jays,NA,Cincinnati Reds,NA
Cleveland Guardians,NA,Boston Red Sox,NA
Los Angeles Angels,NA,Houston Astros,NA
Chicago White Sox,NA,Minnesota Twins,NA
Athletics,NA,St. Louis Cardinals,NA
Atlanta Braves,NA,Chicago Cubs,NA
San Francisco Giants,NA,Colorado Rockies,NA
Philadelphia Phillies,NA,Milwaukee Brewers,NA
Baltimore Orioles,NA,San Diego Padres,NA
Seattle Mariners,NA,Tampa Bay Rays,NA
Texas Rangers,NA,Arizona Diamondbacks,NA
New York Mets,NA,Detroit Tigers,NA
Los Angeles Dodgers,NA,Pittsburgh Pirates,NA
Toronto Blue Jays,NA,Cincinnati Reds,NA
Cleveland Guardians,NA,Boston Red Sox,NA
Miami Marlins,NA,Washington Nationals,NA
Seattle Mariners,NA,Tampa Bay Rays,NA
Los Angeles Angels,NA,Kansas City Royals,NA
Atlanta Braves,NA,Chicago Cubs,NA
Chicago White Sox,NA,Minnesota Twins,NA
Athletics,NA,St. Louis Cardinals,NA
New York Yankees,NA,Houston Astros,NA
San Francisco Giants,NA,Colorado Rockies,NA
Baltimore Orioles,NA,San Diego Padres,NA
Texas Rangers,NA,Arizona Diamondbacks,NA
Miami Marlins,NA,Washington Nationals,NA
New York Mets,NA,Detroit Tigers,NA
Texas Rangers,NA,Arizona Diamondbacks,NA
Baltimore Orioles,NA,San Diego Padres,NA
Los Angeles Dodgers,NA,Pittsburgh Pirates,NA
Toronto Blue Jays,NA,Cincinnati Reds,NA
Cleveland Guardians,NA,Boston Red Sox,NA
Seattle Mariners,NA,Tampa Bay Rays,NA
Los Angeles Angels,NA,Kansas City Royals,NA
Atlanta Braves,NA,Chicago Cubs,NA
Chicago White Sox,NA,Minnesota Twins,NA
Philadelphia Phillies,NA,Milwaukee Brewers,NA
Athletics,NA,St. Louis Cardinals,NA
New York Yankees,NA,Houston Astros,NA
San Francisco Giants,NA,Colorado Rockies,NA
Philadelphia Phillies,NA,Milwaukee Brewers,NA
Los Angeles Dodgers,NA,Pittsburgh Pirates,NA
Cleveland Guardians,NA,Tampa Bay Rays,NA
Los Angeles Angels,NA,Kansas City Royals,NA
Chicago White Sox,NA,Minnesota Twins,NA
New York Yankees,NA,Houston Astros,NA
Washington Nationals,NA,Chicago Cubs,NA
New York Mets,NA,Cincinnati Reds,NA
Chicago White Sox,NA,Detroit Tigers,NA
Milwaukee Brewers,NA,Pittsburgh Pirates,NA
Los Angeles Dodgers,NA,Baltimore Orioles,NA
Toronto Blue Jays,NA,New York Yankees,NA
Philadelphia Phillies,NA,Miami Marlins,NA
Seattle Mariners,NA,Atlanta Braves,NA
Cleveland Guardians,NA,Tampa Bay Rays,NA
Minnesota Twins,NA,Kansas City Royals,NA
Houston Astros,NA,Texas Rangers,NA
San Francisco Giants,NA,St. Louis Cardinals,NA
San Diego Padres,NA,Colorado Rockies,NA
Athletics,NA,Los Angeles Angels,NA
Boston Red Sox,NA,Arizona Diamondbacks,NA
Toronto Blue Jays,NA,New York Yankees,NA
Washington Nationals,NA,Chicago Cubs,NA
Philadelphia Phillies,NA,Miami Marlins,NA
Chicago White Sox,NA,Detroit Tigers,NA
New York Mets,NA,Cincinnati Reds,NA
Milwaukee Brewers,NA,Pittsburgh Pirates,NA
Los Angeles Dodgers,NA,Baltimore Orioles,NA
Cleveland Guardians,NA,Tampa Bay Rays,NA
San Francisco Giants,NA,St. Louis Cardinals,NA
Houston Astros,NA,Texas Rangers,NA
Minnesota Twins,NA,Kansas City Royals,NA
Seattle Mariners,NA,Atlanta Braves,NA
Boston Red Sox,NA,Arizona Diamondbacks,NA
San Diego Padres,NA,Colorado Rockies,NA
Athletics,NA,Los Angeles Angels,NA
Seattle Mariners,NA,Atlanta Braves,NA
Cleveland Guardians,NA,Tampa Bay Rays,NA
Los Angeles Dodgers,NA,Baltimore Orioles,NA
Toronto Blue Jays,NA,New York Yankees,NA
Milwaukee Brewers,NA,Pittsburgh Pirates,NA
New York Mets,NA,Cincinnati Reds,NA
Chicago White Sox,NA,Detroit Tigers,NA
Philadelphia Phillies,NA,Miami Marlins,NA
Minnesota Twins,NA,Kansas City Royals,NA
San Francisco Giants,NA,St. Louis Cardinals,NA
Washington Nationals,NA,Chicago Cubs,NA
Houston Astros,NA,Texas Rangers,NA
San Diego Padres,NA,Colorado Rockies,NA
Athletics,NA,Los Angeles Angels,NA
Boston Red Sox,NA,Arizona Diamondbacks,NA
Kansas City Royals,NA,Cleveland Guardians,NA
Washington Nationals,NA,Miami Marlins,NA
New York Mets,NA,Philadelphia Phillies,NA
Chicago Cubs,NA,Atlanta Braves,NA
Milwaukee Brewers,NA,Texas Rangers,NA
Minnesota Twins,NA,Los Angeles Angels,NA
Cincinnati Reds,NA,San Diego Padres,NA
St. Louis Cardinals,NA,Seattle Mariners,NA
Arizona Diamondbacks,NA,San Francisco Giants,NA
Boston Red Sox,NA,Athletics,NA
Colorado Rockies,NA,Los Angeles Dodgers,NA
Pittsburgh Pirates,NA,Baltimore Orioles,NA
Kansas City Royals,NA,Cleveland Guardians,NA
Washington Nationals,NA,Miami Marlins,NA
New York Mets,NA,Philadelphia Phillies,NA
Detroit Tigers,NA,New York Yankees,NA
Houston Astros,NA,Toronto Blue Jays,NA
Chicago Cubs,NA,Atlanta Braves,NA
Tampa Bay Rays,NA,Chicago White Sox,NA
Milwaukee Brewers,NA,Texas Rangers,NA
Minnesota Twins,NA,Los Angeles Angels,NA
Cincinnati Reds,NA,San Diego Padres,NA
St. Louis Cardinals,NA,Seattle Mariners,NA
Arizona Diamondbacks,NA,San Francisco Giants,NA
Boston Red Sox,NA,Athletics,NA
Colorado Rockies,NA,Los Angeles Dodgers,NA
Milwaukee Brewers,NA,Texas Rangers,NA
Boston Red Sox,NA,Athletics,NA
Arizona Diamondbacks,NA,San Francisco Giants,NA
Minnesota Twins,NA,Los Angeles Angels,NA
Pittsburgh Pirates,NA,Baltimore Orioles,NA
Kansas City Royals,NA,Cleveland Guardians,NA
Washington Nationals,NA,Miami Marlins,NA
New York Mets,NA,Philadelphia Phillies,NA
Detroit Tigers,NA,New York Yankees,NA
Houston Astros,NA,Toronto Blue Jays,NA
Chicago Cubs,NA,Atlanta Braves,NA
Tampa Bay Rays,NA,Chicago White Sox,NA
Cincinnati Reds,NA,San Diego Padres,NA
St. Louis Cardinals,NA,Seattle Mariners,NA
Colorado Rockies,NA,Los Angeles Dodgers,NA
Pittsburgh Pirates,NA,Baltimore Orioles,NA
Tampa Bay Rays,NA,Chicago White Sox,NA
Houston Astros,NA,Toronto Blue Jays,NA
Washington Nationals,NA,Miami Marlins,NA
Detroit Tigers,NA,New York Yankees,NA
Kansas City Royals,NA,Cleveland Guardians,NA
New York Mets,NA,Philadelphia Phillies,NA
Colorado Rockies,NA,San Diego Padres,NA
Los Angeles Angels,NA,Seattle Mariners,NA
Tampa Bay Rays,NA,Chicago Cubs,NA
Pittsburgh Pirates,NA,Washington Nationals,NA
Kansas City Royals,NA,Philadelphia Phillies,NA
Baltimore Orioles,NA,Toronto Blue Jays,NA
Texas Rangers,NA,New York Mets,NA
Chicago White Sox,NA,Cleveland Guardians,NA
Detroit Tigers,NA,Miami Marlins,NA
New York Yankees,NA,Boston Red Sox,NA
Houston Astros,NA,Atlanta Braves,NA
Arizona Diamondbacks,NA,Minnesota Twins,NA
St. Louis Cardinals,NA,Milwaukee Brewers,NA
Colorado Rockies,NA,San Diego Padres,NA
Cincinnati Reds,NA,Athletics,NA
Los Angeles Angels,NA,Seattle Mariners,NA
Los Angeles Dodgers,NA,San Francisco Giants,NA
Tampa Bay Rays,NA,Chicago Cubs,NA
Baltimore Orioles,NA,Toronto Blue Jays,NA
Pittsburgh Pirates,NA,Washington Nationals,NA
Texas Rangers,NA,New York Mets,NA
Detroit Tigers,NA,Miami Marlins,NA
New York Yankees,NA,Boston Red Sox,NA
Kansas City Royals,NA,Philadelphia Phillies,NA
Chicago White Sox,NA,Cleveland Guardians,NA
Arizona Diamondbacks,NA,Minnesota Twins,NA
Houston Astros,NA,Atlanta Braves,NA
St. Louis Cardinals,NA,Milwaukee Brewers,NA
Colorado Rockies,NA,San Diego Padres,NA
Los Angeles Dodgers,NA,San Francisco Giants,NA
Los Angeles Angels,NA,Seattle Mariners,NA
Cincinnati Reds,NA,Athletics,NA
Pittsburgh Pirates,NA,Washington Nationals,NA
Kansas City Royals,NA,Philadelphia Phillies,NA
Houston Astros,NA,Atlanta Braves,NA
New York Yankees,NA,Boston Red Sox,NA
Baltimore Orioles,NA,Toronto Blue Jays,NA
Texas Rangers,NA,New York Mets,NA
Chicago White Sox,NA,Cleveland Guardians,NA
Detroit Tigers,NA,Miami Marlins,NA
Arizona Diamondbacks,NA,Minnesota Twins,NA
St. Louis Cardinals,NA,Milwaukee Brewers,NA
Tampa Bay Rays,NA,Chicago Cubs,NA
Cincinnati Reds,NA,Athletics,NA
Los Angeles Dodgers,NA,San Francisco Giants,NA
Colorado Rockies,NA,San Diego Padres,NA
Los Angeles Angels,NA,Seattle Mariners,NA
Chicago Cubs,NA,Pittsburgh Pirates,NA
Atlanta Braves,NA,Washington Nationals,NA
Toronto Blue Jays,NA,Tampa Bay Rays,NA
Baltimore Orioles,NA,Chicago White Sox,NA
New York Yankees,NA,Minnesota Twins,NA
Cincinnati Reds,NA,St. Louis Cardinals,NA
Texas Rangers,NA,Houston Astros,NA
San Francisco Giants,NA,Arizona Diamondbacks,NA
Philadelphia Phillies,NA,Los Angeles Dodgers,NA
Atlanta Braves,NA,Washington Nationals,NA
Atlanta Braves,NA,Washington Nationals,NA
Cleveland Guardians,NA,Detroit Tigers,NA
Chicago Cubs,NA,Pittsburgh Pirates,NA
Athletics,NA,Boston Red Sox,NA
San Diego Padres,NA,New York Mets,NA
Toronto Blue Jays,NA,Tampa Bay Rays,NA
Seattle Mariners,NA,Kansas City Royals,NA
Baltimore Orioles,NA,Chicago White Sox,NA
New York Yankees,NA,Minnesota Twins,NA
Los Angeles Angels,NA,Milwaukee Brewers,NA
Cincinnati Reds,NA,St. Louis Cardinals,NA
Texas Rangers,NA,Houston Astros,NA
Miami Marlins,NA,Colorado Rockies,NA
San Francisco Giants,NA,Arizona Diamondbacks,NA
Philadelphia Phillies,NA,Los Angeles Dodgers,NA
Chicago Cubs,NA,Pittsburgh Pirates,NA
Cincinnati Reds,NA,St. Louis Cardinals,NA
Baltimore Orioles,NA,Chicago White Sox,NA
San Francisco Giants,NA,Arizona Diamondbacks,NA
Atlanta Braves,NA,Washington Nationals,NA
Cleveland Guardians,NA,Detroit Tigers,NA
Athletics,NA,Boston Red Sox,NA
Toronto Blue Jays,NA,Tampa Bay Rays,NA
San Diego Padres,NA,New York Mets,NA
Seattle Mariners,NA,Kansas City Royals,NA
New York Yankees,NA,Minnesota Twins,NA
Los Angeles Angels,NA,Milwaukee Brewers,NA
Texas Rangers,NA,Houston Astros,NA
Miami Marlins,NA,Colorado Rockies,NA
Philadelphia Phillies,NA,Los Angeles Dodgers,NA
Cleveland Guardians,NA,Detroit Tigers,NA
San Diego Padres,NA,New York Mets,NA
Toronto Blue Jays,NA,Tampa Bay Rays,NA
Athletics,NA,Boston Red Sox,NA
Seattle Mariners,NA,Kansas City Royals,NA
Miami Marlins,NA,Colorado Rockies,NA
Chicago Cubs,NA,Cincinnati Reds,NA
New York Yankees,NA,Baltimore Orioles,NA
Los Angeles Angels,NA,Milwaukee Brewers,NA
San Francisco Giants,NA,Los Angeles Dodgers,NA
Chicago Cubs,NA,Cincinnati Reds,NA
Athletics,NA,Pittsburgh Pirates,NA
Atlanta Braves,NA,Detroit Tigers,NA
New York Yankees,NA,Baltimore Orioles,NA
Washington Nationals,NA,New York Mets,NA
Boston Red Sox,NA,Tampa Bay Rays,NA
Toronto Blue Jays,NA,Kansas City Royals,NA
San Diego Padres,NA,Chicago White Sox,NA
Miami Marlins,NA,Texas Rangers,NA
Los Angeles Angels,NA,Colorado Rockies,NA
Seattle Mariners,NA,Houston Astros,NA
Cleveland Guardians,NA,Minnesota Twins,NA
Milwaukee Brewers,NA,St. Louis Cardinals,NA
Philadelphia Phillies,NA,Arizona Diamondbacks,NA
San Francisco Giants,NA,Los Angeles Dodgers,NA
Atlanta Braves,NA,Detroit Tigers,NA
Cleveland Guardians,NA,Minnesota Twins,NA
Cleveland Guardians,NA,Minnesota Twins,NA
Washington Nationals,NA,New York Mets,NA
Chicago Cubs,NA,Cincinnati Reds,NA
Athletics,NA,Pittsburgh Pirates,NA
Boston Red Sox,NA,Tampa Bay Rays,NA
Miami Marlins,NA,Texas Rangers,NA
New York Yankees,NA,Baltimore Orioles,NA
Seattle Mariners,NA,Houston Astros,NA
Toronto Blue Jays,NA,Kansas City Royals,NA
San Diego Padres,NA,Chicago White Sox,NA
Milwaukee Brewers,NA,St. Louis Cardinals,NA
Los Angeles Angels,NA,Colorado Rockies,NA
Philadelphia Phillies,NA,Arizona Diamondbacks,NA
San Francisco Giants,NA,Los Angeles Dodgers,NA
Athletics,NA,Pittsburgh Pirates,NA
New York Yankees,NA,Baltimore Orioles,NA
Chicago Cubs,NA,Cincinnati Reds,NA
Washington Nationals,NA,New York Mets,NA
Atlanta Braves,NA,Detroit Tigers,NA
Seattle Mariners,NA,Houston Astros,NA
Toronto Blue Jays,NA,Kansas City Royals,NA
Cleveland Guardians,NA,Minnesota Twins,NA
San Diego Padres,NA,Chicago White Sox,NA
Milwaukee Brewers,NA,St. Louis Cardinals,NA
Miami Marlins,NA,Texas Rangers,NA
Los Angeles Angels,NA,Colorado Rockies,NA
San Francisco Giants,NA,Los Angeles Dodgers,NA
Philadelphia Phillies,NA,Arizona Diamondbacks,NA
Boston Red Sox,NA,Tampa Bay Rays,NA
Washington Nationals,NA,Atlanta Braves,NA
Milwaukee Brewers,NA,San Diego Padres,NA
St. Louis Cardinals,NA,San Francisco Giants,NA
Tampa Bay Rays,NA,Baltimore Orioles,NA
Detroit Tigers,NA,Cleveland Guardians,NA
Pittsburgh Pirates,NA,Cincinnati Reds,NA
Miami Marlins,NA,Philadelphia Phillies,NA
