game_pk,stadium,temperature,condition,wind
777272,PNC Park,78,Sunny,"3 mph, L To R"
777284,Nationals Park,80,Partly Cloudy,"2 mph, In From LF"
777265,Nationals Park,84,Partly Cloudy,"5 mph, R To L"
777273,Citizens Bank Park,80,Cloudy,"4 mph, Out To RF"
777290,Citizens Bank Park,84,Partly Cloudy,"7 mph, Out To RF"
777289,Citi Field,81,Cloudy,"4 mph, Out To LF"
777276,Citi Field,81,Clear,"4 mph, Out To LF"
777294,Fenway Park,84,Partly Cloudy,"4 mph, Out To CF"
777275,loanDepot park,72,Roof Closed,"0 mph, None"
777274,Rogers Centre,74,Partly Cloudy,"11 mph, Out To RF"
777277,Fenway Park,82,Cloudy,"8 mph, Out To LF"
777279,Truist Park,89,Clear,"9 mph, Out To LF"
777266,Wrigley Field,84,Partly Cloudy,"5 mph, In From RF"
777268,Globe Life Field,74,Roof Closed,"0 mph, None"
777269,Coors Field,92,Partly Cloudy,"8 mph, Out To LF"
777262,T-Mobile Park,71,Cloudy,"8 mph, L To R"
777270,Chase Field,78,Roof Closed,"0 mph, None"
777267,Dodger Stadium,69,Clear,"3 mph, Out To RF"
777263,loanDepot park,72,Roof Closed,"0 mph, None"
777264,Coors Field,90,Partly Cloudy,"5 mph, In From CF"
777258,Nationals Park,92,Clear,"3 mph, Out To RF"
777260,Rogers Centre,74,Clear,"14 mph, Out To RF"
777257,Citi Field,71,Cloudy,"5 mph, L To R"
777261,Truist Park,88,Partly Cloudy,"6 mph, Out To CF"
777259,Wrigley Field,84,Clear,"10 mph, In From RF"
777256,Chase Field,78,Roof Closed,"0 mph, None"
777251,T-Mobile Park,68,Clear,"7 mph, L To R"
777253,Dodger Stadium,73,Clear,"2 mph, Out To RF"
777245,Nationals Park,83,Sunny,"3 mph, In From CF"
777255,Citizens Bank Park,82,Sunny,"8 mph, In From LF"
777246,Wrigley Field,80,Cloudy,"3 mph, Out To LF"
777250,Citi Field,82,Sunny,"7 mph, L To R"
777236,T-Mobile Park,71,Partly Cloudy,"6 mph, Out To RF"
777247,Target Field,92,Partly Cloudy,"15 mph, Out To LF"
777239,Petco Park,74,Sunny,"10 mph, L To R"
777242,Rogers Centre,75,Clear,"6 mph, Out To LF"
777249,Progressive Field,85,Clear,"3 mph, In From CF"
777254,loanDepot park,72,Roof Closed,"0 mph, None"
777252,Truist Park,90,Partly Cloudy,"8 mph, L To R"
777243,Coors Field,87,Clear,"7 mph, L To R"
777235,Dodger Stadium,77,Clear,"6 mph, Out To RF"
777248,Chase Field,76,Roof Closed,"0 mph, None"
777244,Sutter Health Park,77,Clear,"14 mph, Varies"
777230,Target Field,80,Overcast,"9 mph, Out To CF"
777229,Wrigley Field,85,Partly Cloudy,"14 mph, Out To CF"
777231,Rogers Centre,75,Sunny,"11 mph, R To L"
777228,Nationals Park,89,Partly Cloudy,"4 mph, Out To LF"
777233,Citizens Bank Park,88,Sunny,"6 mph, Out To CF"
777234,Chase Field,78,Roof Closed,"0 mph, None"
777237,Truist Park,91,Sunny,"9 mph, Out To RF"
777241,Citi Field,85,Sunny,"11 mph, Out To LF"
777238,loanDepot park,72,Roof Closed,"0 mph, None"
777240,Progressive Field,89,Clear,"3 mph, Out To CF"
777221,Dodger Stadium,82,Sunny,"5 mph, L To R"
777232,Coors Field,78,Cloudy,"4 mph, R To L"
777223,Petco Park,70,Clear,"6 mph, L To R"
777227,Sutter Health Park,86,Clear,"9 mph, Out To RF"
777225,T-Mobile Park,72,Clear,"9 mph, In From LF"
777222,Truist Park,86,Sunny,"4 mph, L To R"
777213,Nationals Park,86,Partly Cloudy,"5 mph, Out To LF"
777217,Citizens Bank Park,88,Partly Cloudy,"6 mph, Out To CF"
777214,Rogers Centre,68,Roof Closed,"0 mph, None"
777226,Progressive Field,91,Partly Cloudy,"9 mph, Out To RF"
777216,Citi Field,87,Sunny,"11 mph, Out To LF"
777224,loanDepot park,72,Roof Closed,"0 mph, None"
777220,Target Field,80,Sunny,"7 mph, L To R"
777215,Coors Field,88,Partly Cloudy,"6 mph, R To L"
777218,Chase Field,76,Roof Closed,"0 mph, None"
777206,Dodger Stadium,84,Sunny,"2 mph, L To R"
777205,T-Mobile Park,72,Sunny,"8 mph, L To R"
777219,Wrigley Field,69,Overcast,"14 mph, In From LF"
777207,Petco Park,70,Clear,"11 mph, L To R"
777210,Sutter Health Park,88,Clear,"9 mph, R To L"
777211,Comerica Park,74,Partly Cloudy,"4 mph, In From LF"
777209,Fenway Park,83,Partly Cloudy,"7 mph, Out To LF"
777208,Great American Ball Park,78,Overcast,"6 mph, Out To LF"
777204,Kauffman Stadium,89,Partly Cloudy,"8 mph, R To L"
777212,Rate Field,75,Clear,"8 mph, L To R"
777201,American Family Field,68,Partly Cloudy,"8 mph, L To R"
777202,Daikin Park,73,Roof Closed,"0 mph, None"
777200,Angel Stadium,76,Clear,"6 mph, Out To CF"
777203,Petco Park,70,Clear,"8 mph, L To R"
777199,Oracle Park,61,Clear,"12 mph, Out To CF"
777198,Oriole Park at Camden Yards,81,Overcast,"6 mph, Out To CF"
777195,Comerica Park,83,Clear,"4 mph, In From RF"
777187,Yankee Stadium,88,Cloudy,"6 mph, Out To RF"
777196,Fenway Park,90,Partly Cloudy,"5 mph, L To R"
777197,Great American Ball Park,86,Partly Cloudy,"2 mph, Out To RF"
777194,Kauffman Stadium,86,Partly Cloudy,"7 mph, L To R"
777190,Target Field,82,Partly Cloudy,"8 mph, In From LF"
777188,Rate Field,77,Cloudy,"2 mph, R To L"
777193,American Family Field,79,Partly Cloudy,"7 mph, R To L"
777191,Busch Stadium,73,Overcast,"7 mph, Out To RF"
777192,Daikin Park,73,Roof Closed,"0 mph, None"
777180,Angel Stadium,83,Clear,"8 mph, Out To CF"
777185,Petco Park,72,Clear,"10 mph, L To R"
777186,Oracle Park,63,Partly Cloudy,"13 mph, Out To CF"
777189,Sutter Health Park,85,Clear,"11 mph, Out To RF"
777172,Rate Field,80,Cloudy,"10 mph, L To R"
777175,American Family Field,71,Sunny,"9 mph, L To R"
777163,Oracle Park,64,Partly Cloudy,"10 mph, Out To CF"
777182,Comerica Park,80,Partly Cloudy,"7 mph, In From RF"
777184,Yankee Stadium,88,Partly Cloudy,"9 mph, R To L"
777179,Fenway Park,72,Partly Cloudy,"5 mph, In From RF"
777183,Great American Ball Park,82,Partly Cloudy,"3 mph, In From RF"
777177,Kauffman Stadium,91,Clear,"4 mph, R To L"
777173,Target Field,85,Partly Cloudy,"6 mph, In From LF"
777178,Busch Stadium,87,Clear,"6 mph, In From LF"
777174,Daikin Park,73,Roof Closed,"0 mph, None"
777171,Angel Stadium,82,Clear,"5 mph, R To L"
777162,Petco Park,72,Clear,"11 mph, L To R"
777176,Sutter Health Park,90,Clear,"7 mph, Varies"
777181,Oriole Park at Camden Yards,82,Partly Cloudy,"3 mph, Out To LF"
777165,Oriole Park at Camden Yards,81,Cloudy,"1 mph, Out To RF"
777181,Oriole Park at Camden Yards,82,Partly Cloudy,"3 mph, Out To LF"
777166,Target Field,81,Overcast,"9 mph, R To L"
777168,Great American Ball Park,87,Partly Cloudy,"3 mph, Out To LF"
777169,Yankee Stadium,80,Partly Cloudy,"7 mph, In From LF"
777170,Fenway Park,69,Overcast,"5 mph, In From RF"
777167,Busch Stadium,87,Clear,"8 mph, Out To LF"
777156,Sutter Health Park,99,Clear,"8 mph, Out To RF"
777159,Angel Stadium,79,Partly Cloudy,"6 mph, Varies"
777158,Petco Park,72,Clear,"8 mph, L To R"
777164,Rate Field,84,Cloudy,"7 mph, R To L"
777164,Rate Field,84,Cloudy,"7 mph, R To L"
777146,Rate Field,85,Cloudy,"8 mph, R To L"
777157,Oriole Park at Camden Yards,87,Partly Cloudy,"3 mph, Out To LF"
777153,Yankee Stadium,81,Partly Cloudy,"10 mph, R To L"
777160,Great American Ball Park,89,Clear,"6 mph, R To L"
777161,Comerica Park,83,Partly Cloudy,"7 mph, In From RF"
777155,Fenway Park,78,Partly Cloudy,"4 mph, In From RF"
777151,Kauffman Stadium,83,Overcast,"12 mph, L To R"
777154,Daikin Park,73,Roof Closed,"0 mph, None"
777148,Target Field,83,Overcast,"4 mph, Out To RF"
777149,American Family Field,76,Roof Closed,"0 mph, None"
777147,Busch Stadium,91,Partly Cloudy,"9 mph, Out To LF"
777150,Angel Stadium,74,Clear,"8 mph, Out To RF"
777139,Petco Park,68,Partly Cloudy,"7 mph, Out To RF"
777152,Sutter Health Park,96,Clear,"10 mph, Out To CF"
777143,Oracle Park,60,Clear,"9 mph, Out To CF"
777142,Yankee Stadium,84,Partly Cloudy,"6 mph, In From CF"
777145,Comerica Park,80,Partly Cloudy,"13 mph, In From RF"
777134,Target Field,77,Cloudy,"12 mph, Out To CF"
777133,Busch Stadium,83,Overcast,"11 mph, Out To CF"
777127,Oracle Park,62,Sunny,"9 mph, Out To CF"
777141,Oriole Park at Camden Yards,89,Partly Cloudy,"4 mph, Out To LF"
777140,Great American Ball Park,86,Cloudy,"9 mph, R To L"
777136,Kauffman Stadium,84,Partly Cloudy,"1 mph, In From LF"
777144,Fenway Park,80,Partly Cloudy,"4 mph, Out To CF"
777138,Rate Field,83,Cloudy,"9 mph, Out To LF"
777135,American Family Field,83,Partly Cloudy,"9 mph, R To L"
777137,Daikin Park,73,Roof Closed,"0 mph, None"
777126,Petco Park,71,Sunny,"8 mph, L To R"
777131,Angel Stadium,74,Clear,"8 mph, R To L"
777132,Sutter Health Park,87,Clear,"12 mph, Out To LF"
777130,Fenway Park,77,Sunny,"3 mph, R To L"
777129,Oriole Park at Camden Yards,87,Overcast,"4 mph, R To L"
777122,Yankee Stadium,81,Partly Cloudy,"7 mph, In From RF"
777128,Great American Ball Park,78,Partly Cloudy,"6 mph, R To L"
777121,Comerica Park,86,Sunny,"6 mph, In From RF"
777124,Kauffman Stadium,85,Sunny,"6 mph, Out To RF"
777125,Daikin Park,73,Roof Closed,"0 mph, None"
777113,Target Field,84,Partly Cloudy,"10 mph, In From RF"
777120,Rate Field,83,Cloudy,"2 mph, R To L"
777123,American Family Field,80,Sunny,"8 mph, R To L"
777118,Busch Stadium,78,Rain,"6 mph, R To L"
777119,Oracle Park,64,Sunny,"10 mph, Varies"
777116,Sutter Health Park,85,Sunny,"6 mph, Varies"
777115,Angel Stadium,79,Sunny,"6 mph, Out To CF"
777117,Petco Park,72,Sunny,"6 mph, L To R"
776320,NA,NA,NA,NA
776313,NA,NA,NA,NA
776285,NA,NA,NA,NA
776278,NA,NA,NA,NA
776221,NA,NA,NA,NA
776222,NA,NA,NA,NA
